Bundle编码,规则,SKU组合,中文名称,清仓价,匹配状态,来源Bundle
B-2P0G-0149000130,⑥ 2pcs-常规香水+身体乳180ml,BXS002001+BSR112002,粉色PHOEBE香水+粉色身体乳180ml,129000,已匹配,BSR112002+BXS002001
B-2P0G-0149000511,⑥ 2pcs-常规香水+身体乳180ml,BXS002001+BSR113002,粉色PHOEBE香水+黄色身体乳180ml,129000,已匹配,BSR113002+BXS002001
B-2P0G-0149000512,⑥ 2pcs-常规香水+身体乳180ml,BXS002001+BSR116002,粉色PHOEBE香水+紫棕身体乳180ml,129000,已匹配,BSR116002+BXS002001
B-2P0G-0149000513,⑥ 2pcs-常规香水+身体乳180ml,BXS002001+BSR111002,粉色PHOEBE香水+红色身体乳180ml,129000,已匹配,BSR111002+BXS002001
B-2P0G-0149000514,⑥ 2pcs-常规香水+身体乳180ml,BXS002001+BSR114002,粉色PHOEBE香水+绿色身体乳180ml,129000,已匹配,BSR114002+BXS002001
B-2P0G-0149000372,⑥ 2pcs-常规香水+身体乳180ml,BXS008001+BSR112002,浅粉EVA香水+粉色身体乳180ml,129000,已匹配,BSR112002+BXS008001
B-2P0G-0149000374,⑥ 2pcs-常规香水+身体乳180ml,BXS008001+BSR113002,浅粉EVA香水+黄色身体乳180ml,129000,已匹配,BSR113002+BXS008001
B-2P0G-0149000515,⑥ 2pcs-常规香水+身体乳180ml,BXS008001+BSR116002,浅粉EVA香水+紫棕身体乳180ml,129000,已匹配,BSR116002+BXS008001
B-2P0G-0149000281,⑥ 2pcs-常规香水+身体乳180ml,BXS008001+BSR111002,浅粉EVA香水+红色身体乳180ml,129000,已匹配,BSR111002+BXS008001
B-2P0G-0149000516,⑥ 2pcs-常规香水+身体乳180ml,BXS008001+BSR114002,浅粉EVA香水+绿色身体乳180ml,129000,已匹配,BSR114002+BXS008001
B-2P0G-0149000488,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS013+BSR112002,深红AFFECTION香水+粉色身体乳180ml,199000,已匹配,BSR112002+BXS013
B-2P0G-0149000489,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS013+BSR113002,深红AFFECTION香水+黄色身体乳180ml,199000,已匹配,BSR113002+BXS013
B-2P0G-0149000491,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS013+BSR116002,深红AFFECTION香水+紫棕身体乳180ml,199000,已匹配,BSR116002+BXS013
B-2P0G-0149000481,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS014+BSR112002,金色EUPHORIA香水+粉色身体乳180ml,199000,已匹配,BSR112002+BXS014
B-2P0G-0149000482,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS014+BSR113002,金色EUPHORIA香水+黄色身体乳180ml,199000,已匹配,BSR113002+BXS014
B-2P0G-0149000484,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS014+BSR116002,金色EUPHORIA香水+紫棕身体乳180ml,199000,已匹配,BSR116002+BXS014
B-2P0G-0149000485,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS015+BSR112002,银色EMPOWER香水+粉色身体乳180ml,199000,已匹配,BSR112002+BXS015
B-2P0G-0149000458,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS015+BSR113002,银色EMPOWER香水+黄色身体乳180ml,199000,已匹配,BSR113002+BXS015
B-2P0G-0149000487,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS015+BSR116002,银色EMPOWER香水+紫棕身体乳180ml,199000,已匹配,BSR116002+BXS015
B-2P0G-0149000477,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS017001+BSR112002,白色ALLURE香水+粉色身体乳180ml,199000,已匹配,BSR112002+BXS017001
B-2P0G-0149000478,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS017001+BSR113002,白色ALLURE香水+黄色身体乳180ml,199000,已匹配,BSR113002+BXS017001
B-2P0G-0149000480,⑦ 2pcs-浓香系列香水+指定身体乳180ml,BXS017001+BSR116002,白色ALLURE香水+紫棕身体乳180ml,199000,已匹配,BSR116002+BXS017001
